index,text,modified_text,intervention_status,intervention_type,gold_label,pred_label
3,"Come on, Lydia, you can do it.","Come on, nobody, you can do it.",success,strong,neutral,neutral
7,"Let's get that ball and really move, hey, hey, ho, ho.","Let's get that ball and really stop, hey, hey, ho, ho.",success,strong,joy,joy
16,"Oh okay, lift it straight up over your head!","Oh okay, lift it straight up over your feet!",success,strong,anger,joy
17,Straight up over your head!,Straight up over your feet!,success,strong,anger,anger
23,"No wait, look. Look! I'm sorry, it's just I've never even","No wait, look. Look! I'm sorry, it's just I've always even",success,strong,fear,surprise
26,"Okay, fine, whatever. Welcome to the building.","Okay, fine, whatever. Welcome to the chaos.",success,strong,anger,neutral
27,"Ugh, can you believe that guy!","Ugh, can you ignore that guy!",success,strong,disgust,surprise
33,"Oh no wait, oh no, the elastic on my underwear busted.","Oh no wait, oh no, the elastic on my underwear fixed.",success,strong,neutral,surprise
35,"Oh wait, Joey, you can’t go like that! You stink!","Oh wait, Joey, you can’t go like that! You shine!",success,strong,disgust,sadness
36,"Look, I know I feel asleep before I could shower and now I don’t have time!","Look, I know I feel asleep before I could shower and now I don’t have eternity!",success,strong,anger,anger
37,"They’re just ten blocks away, if I run, I can make it.","They’re just ten miles away, if I run, I can make it.",success,strong,neutral,neutral
38,You’re coming on to the entire room!  I’m Chandler.,You’re coming on to the entire corner!  I’m Chandler.,success,strong,anger,surprise
44,I talk in my sleep.,I scream in my sleep.,success,strong,neutral,neutral
45,"What a coincidence, I listen in my sleep.","What a coincidence, I listen in my chaos.",success,strong,neutral,surprise
48,I don’t know exactly. It’s-it’s sorta like wrestling.,I don’t know vaguely. It’s-it’s sorta like wrestling.,success,strong,neutral,neutral
52,"And it’s not fake, it’s totally brutal.","And it’s not fake, it’s totally wonderful.",success,strong,neutral,anger
55,"Yeah, anything goes, except ah, eye gouging and fish hooking.","Yeah, anything goes, including ah, eye gouging and fish hooking.",success,strong,neutral,neutral
57,"Huh, what’s fish hooking...   Thanks man, that would have been really hard to describe. What is that taste?","Wow, what’s fish hooking... Thanks man, that would have been really hard to describe. What is that taste?",success,strong,neutral,surprise
58,"What? My hands are totally clean, I just gave the duck a bath.","What? My hands are barely clean, I just gave the duck a bath.",success,strong,neutral,surprise
59,"Oh, Bob, he was nothing compared to you. I had to bite my lip to keep from screaming your name.","Oh, Bob, he was nothing compared to you. I had to bite my lip to keep from whispering your name.",success,strong,sadness,anger
60,"Well, that makes me feel so good.","Well, that makes me feel so bad.",success,strong,joy,joy
61,It was just so awkward and bumpy.,It was just so awkward and smooth.,success,strong,neutral,sadness
63,"Well, maybe he had some kind of uh, new, cool style, that you're not familiar with.","Well, maybe he had no kind of uh, new, cool style, that you're not familiar with.",success,strong,neutral,neutral
64,And uh maybe you have to get used to it.,And uh maybe you have to get avoid to it.,success,strong,neutral,neutral
65,"Well there really wasn't much time to get used to it, you know what I mean?","Well there really wasn't little time to get used to it, you know what I mean?",success,strong,joy,neutral
68,"Yeah, most of the damage is pretty mostly contained in the bedrooms.","Yeah, most of the damage is pretty mostly spread in the bedrooms.",success,strong,sadness,neutral
71,"Hey buddy, do you think I can borrow your uniform this Thursday?","Hey buddy, do you think I can return your uniform this Thursday?",success,strong,neutral,neutral
74,"Oh, how bad is it?","Oh, how wonderful is it?",success,strong,sadness,sadness
76,How’s your room Rach?,How’s your mess Rach?,success,strong,neutral,neutral
77,Everything’s ruined. My bed. My clothes. Look at my favorite blue sweater.,Everything’s perfect. My bed. My clothes. Look at my favorite blue sweater.,success,strong,sadness,sadness
79,Fine! I’m sorry for your loss!,Unfortunately! I’m sorry for your loss!,success,strong,anger,anger
80,"So uh, you’re not gonna be able to live here for a while, you ladies have a place to stay?","So uh, you’re not gonna be able to live here for a while, you strangers have a place to stay?",success,strong,neutral,neutral
81,"Wow! Oh-okay, look pal, I am","Meh! Oh-okay, look pal, I am",success,strong,joy,surprise
83,Have you figured out what started the fire Mr. Fireman?,Have you figured out what started the celebration Mr. Fireman?,success,strong,neutral,neutral
84,There’s just so much pressure.,There’s just so much freedom.,success,strong,anger,sadness
89,I mean there’s no way Joey’s gonna make it in time.,I mean there’s no way Joey’s gonna miss it in time.,success,strong,fear,sadness
90,So I’m gonna go through the hotel and see if there’s any other weddings going on.,So I’m gonna go around the hotel and see if there’s any other weddings going on.,success,strong,neutral,neutral
95,"Well, apparently not, and I can’t just stand by and watch two people I care about very much be hurt over something that is so silly.","Well, certainly not, and I can’t just stand by and watch two people I care about very much be hurt over something that is so silly.",success,strong,sadness,anger
96,"I mean, enough of the silliness!","I mean, enough of the seriousness!",success,strong,anger,anger
97,"Well, why don’t you tell her to stop being silly!","Well, why don’t you tell her to stop being serious!",success,strong,anger,anger
99,"Two very good points, look I’ve known you both a long time, and I’ve never seen either of you one/millionth as happy as you’ve been since you’ve got together.","Two very bad points, look I’ve known you both a long time, and I’ve never seen either of you one/millionth as happy as you’ve been since you’ve got together.",success,strong,sadness,joy
100,Do you really want to throw that all away over a room?,Do you really want to throw that all away because a room?,success,strong,sadness,surprise
101,That is so silly.,That is so serious.,success,strong,joy,anger
102,"Now wh-what is more important, love or silliness?","Now wh-what is more irrelevant, love or silliness?",success,strong,neutral,neutral
103,"Well, we are fond of the silliness, but we also have a soft spot for the love.","Well, we are tired of the silliness, but we also have a soft spot for the love.",success,strong,neutral,neutral
110,"And Mon, you wanna live with Chandler, don’t ya?","And Jan, you wanna live with Chandler, don’t ya?",success,strong,neutral,neutral
112,Good! A verbal contract is binding in the state of New York!,Terrible! A verbal contract is binding in the state of New York!,success,strong,joy,joy
115,"Well, I'm not I'm not at all surprised they feel that way.","Well, I'm not I'm not at all shocked they feel that way.",success,strong,neutral,neutral
116,"You're not? See, that's why you're so great!","You're not? See, that's why you're so terrible!",success,strong,surprise,anger
117,"Actually it's, it's quite, y'know, typical behaviour when you have this kind of dysfunctional group dynamic.","Actually it's, it's quite, y'know, rare behaviour when you have this kind of dysfunctional group dynamic.",success,strong,neutral,neutral
121,Have you really done this before?,Have you really done this after?,success,strong,surprise,surprise
125,"You just take a big, big swing.","You just take a big, big retreat.",success,strong,neutral,neutral
130,We’re just celebrating that Joey got his health insurance back.,We’re just lamenting that Joey got his health insurance back.,success,strong,joy,joy
133,Oh yeah? Well maybe you and I should take a walk through a bad neighborhood.,Oh yeah? Well maybe you and I should avoid a walk through a bad neighborhood.,success,strong,joy,neutral
137,Cut it out Ross! I hate to have to save your life and kick your ass in the same day!,Cut it in Ross! I hate to have to save your life and kick your ass in the same day!,success,strong,anger,anger
