index,text,modified_text,intervention_status,intervention_type,gold_label,pred_label
3,"Come on, Lydia, you can do it.","Come on, friend, you can do it.",success,weak,neutral,neutral
7,"Let's get that ball and really move, hey, hey, ho, ho.","Let's get that ball and really proceed, hey, hey, ho, ho.",success,weak,joy,joy
16,"Oh okay, lift it straight up over your head!","Oh okay, lift it straight up over your hand!",success,weak,anger,joy
17,Straight up over your head!,Straight up over your hands!,success,weak,anger,anger
23,"No wait, look. Look! I'm sorry, it's just I've never even","No wait, look. Look! I'm sorry, it's just I've rarely even",success,weak,fear,surprise
26,"Okay, fine, whatever. Welcome to the building.","Okay, fine, whatever. Welcome to the place.",success,weak,anger,neutral
27,"Ugh, can you believe that guy!","Ugh, can you understand that guy!",success,weak,disgust,surprise
33,"Oh no wait, oh no, the elastic on my underwear busted.","Oh no wait, oh no, the elastic on my underwear snapped.",success,weak,neutral,surprise
35,"Oh wait, Joey, you can’t go like that! You stink!","Oh wait, Joey, you can’t go like that! You smell!",success,weak,disgust,sadness
36,"Look, I know I feel asleep before I could shower and now I don’t have time!","Look, I know I feel asleep before I could shower and now I don’t have much!",success,weak,anger,anger
37,"They’re just ten blocks away, if I run, I can make it.","They’re just ten streets away, if I run, I can make it.",success,weak,neutral,neutral
38,You’re coming on to the entire room!  I’m Chandler.,You’re coming on to the entire group! I’m Chandler.,success,weak,anger,surprise
44,I talk in my sleep.,I murmur in my sleep.,success,weak,neutral,neutral
45,"What a coincidence, I listen in my sleep.","What a coincidence, I listen in my dreams.",success,weak,neutral,surprise
48,I don’t know exactly. It’s-it’s sorta like wrestling.,I don’t know quite. It’s-it’s sorta like wrestling.,success,weak,neutral,neutral
52,"And it’s not fake, it’s totally brutal.","And it’s not fake, it’s totally harsh.",success,weak,neutral,anger
55,"Yeah, anything goes, except ah, eye gouging and fish hooking.","Yeah, anything goes, excluding ah, eye gouging and fish hooking.",success,weak,neutral,neutral
57,"Huh, what’s fish hooking...   Thanks man, that would have been really hard to describe. What is that taste?","Hmm, what’s fish hooking... Thanks man, that would have been really hard to describe. What is that taste?",success,weak,neutral,surprise
58,"What? My hands are totally clean, I just gave the duck a bath.","What? My hands are quite clean, I just gave the duck a bath.",success,weak,neutral,surprise
59,"Oh, Bob, he was nothing compared to you. I had to bite my lip to keep from screaming your name.","Oh, Bob, he was nothing compared to you. I had to bite my lip to keep from saying your name.",success,weak,sadness,anger
60,"Well, that makes me feel so good.","Well, that makes me feel so nice.",success,weak,joy,joy
61,It was just so awkward and bumpy.,It was just so awkward and rough.,success,weak,neutral,sadness
63,"Well, maybe he had some kind of uh, new, cool style, that you're not familiar with.","Well, maybe he had a kind of uh, new, cool style, that you're not familiar with.",success,weak,neutral,neutral
64,And uh maybe you have to get used to it.,And uh maybe you have to get acclimated to it.,success,weak,neutral,neutral
65,"Well there really wasn't much time to get used to it, you know what I mean?","Well there really wasn't some time to get used to it, you know what I mean?",success,weak,joy,neutral
67,"Oh well, it’s not so bad.","Oh well, it’s hardly so bad.",success,weak,neutral,neutral
