index,text,gold_label,pred_label,target_label,pivot_word_clean,pivot_type,pivot_source,pivot_reason,pivot_keep,candidate_words,candidate_types,candidate_scores,intervention_status,modified_text,replacement_word,replacement_found,used_for_eval,rewrite_strategy,success_subtype,emotion_shift_quality,notes
0,"Yeah, we all have to hang out now.",hap,hap,ang,hang,generic,generic_fallback,no typed cue found; best generic candidate used,True,hang | yeah | have | all | out | to,generic | generic | generic | generic | generic | generic,2.4690 | 0.5823 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,"Yeah, we all have to hate out now.",[removed: [anchor:hate]],True,True,generic_anchor_insert,strict_success,strong_emotion_shift,Generic anchor inserted: [anchor:hate]
3,"I can't help it.  I know her best.  I was brought up next door to here, the easiest, when I think of somebody for my wife, I think of Annie.  Do you want a diagram?",fru,fru,hap,help,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,help | best | can't | diagram | want | next | easiest | know | up | when,implicit_appraisal | implicit_appraisal | generic | generic | generic | generic | generic | generic | generic | generic,5.4245 | 4.9836 | 0.6144 | 0.2607 | 0.2484 | 0.2040 | 0.1482 | -999.0000 | -999.0000 | -999.0000,success,"I help it. I know her best. I was brought up next door to here, the easiest, when I think of somebody for my wife, I think of Annie. Do you want a diagram?",[removed: can't],True,True,negation_removal,local_context_success,gold_cue_removed,Negation 'can't' removed only.
4,Not- Would you shut up.,ang,ang,hap,shut,generic,generic_fallback,no typed cue found; best generic candidate used,True,shut | up | would | you | not,generic | generic | generic | generic | generic,0.8992 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,Would you shut up.,[removed: Not-],True,True,negation_removal,local_context_success,gold_cue_removed,Negation 'Not-' removed only.
6,I do believe that I have said already that I had three minuet liquor glasses of brandy in the entire evening.  A child of two couldn't get drunk of that.,ang,ang,hap,believe,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,believe | child | drunk | entire | already | minuet | had | have | that | i,implicit_appraisal | generic | generic | generic | generic | generic | generic | generic | generic | generic,5.1396 | 0.5895 | 0.5502 | 0.2722 | 0.1848 | 0.1783 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,I do trust that I have said already that I had three minuet liquor glasses of brandy in the entire evening. A child of two couldn't get drunk of that.,trust,True,True,strict_word_replace,strict_success,gold_cue_removed,"'Trust' carries a warm, positive connotation, shifting the tone from 'angry' to 'happy'."
8,"I did it, I asked her to marry me.",hap,hap,ang,marry,event_based_cue,event_based_candidate,selected event-based cue,True,marry | asked | me | i | her | to,event_based_cue | generic | generic | generic | generic | generic,3.3798 | 0.2713 | 0.1680 | -999.0000 | -999.0000 | -999.0000,success,"I did it, I asked her to reject me.",reject,True,True,strict_word_replace,strict_success,strong_emotion_shift,"'Reject' conveys strong displeasure and opposition, shifting the emotional tone from positive commitment to negative disapproval."
9,It seems like it went through Heath Row.  I see it here. uh-,neu,neu,ang,through,generic,generic_fallback,no typed cue found; best generic candidate used,True,through | uh | heath | went | seems | see | like | it,generic | generic | generic | generic | generic | generic | generic | generic,0.4581 | 0.4045 | 0.2091 | 0.1936 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,It seems like it went unacceptable Heath Row. I see it here. uh-,unacceptable,True,True,minimal_context_edit,strict_success,strong_emotion_shift,"The word 'unacceptable' introduces irritation and dissatisfaction, emphasizing anger."
10,"I- I -I have no imagination, that's all I know what to say, I-I'm embarrassing you. I I didn't want to tell you here.  I wanted it to be some place different, some place where we could be new to each other you know.",hap,hap,ang,embarrassing,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,embarrassing | imagination | tell | new | didn't | different | place | wanted | want | you,implicit_appraisal | generic | generic | generic | generic | generic | generic | generic | generic | generic,5.6459 | 0.4618 | 0.3832 | 0.2184 | 0.1307 | 0.1194 | 0.1164 | 0.1090 | 0.1090 | -999.0000,success,"I- I -I have no imagination, that's all I know what to say, I-I'm irritating you. I I didn't want to tell you here. I wanted it to be some place different, some place where we could be new to each other you know.",irritating,True,True,strict_word_replace,strict_success,strong_emotion_shift,"'Irritating' conveys annoyance or displeasure, shifting the emotion from positive to anger."
14,Well I got an idea.  But what's the story?,neu,neu,ang,well,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,well | story | an | what | but | got | i,implicit_appraisal | generic | generic | generic | generic | generic | generic,5.1820 | 0.7047 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,"Damn, I got an idea. But what's the story?",damn,True,True,minimal_context_edit,strict_success,gold_cue_removed,"The word 'damn' carries a sense of irritation or frustration, shifting the sentence from neutral to angry."
15,With the most perfect poise.,hap,hap,ang,perfect,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,perfect | poise | most | with | the,implicit_appraisal | generic | generic | generic | generic,5.7071 | 0.5491 | -999.0000 | -999.0000 | -999.0000,success,With the most awful poise.,awful,True,True,strict_word_replace,strict_success,strong_emotion_shift,"'Awful' carries strong displeasure, shifting the sentiment from positive to angry."
18,"Yes, I did quite a bit.",neu,ang,ang,quite,generic,generic_fallback,no typed cue found; best generic candidate used,True,quite | bit | yes | did | a | i,generic | generic | generic | generic | generic | generic,0.5747 | 0.3096 | 0.1440 | -999.0000 | -999.0000 | -999.0000,success,"Yes, I did angrily a bit.",angrily,True,True,strict_word_replace,strict_success,strong_emotion_shift,"'Angrily' introduces irritation into the neutral statement, shifting the emotion to 'ang'."
19,"Yes, lots of really like -- sentimental value only, but--",fru,neu,hap,value,generic,generic_fallback,no typed cue found; best generic candidate used,True,value | only | yes | lots | sentimental | but | like | of,generic | generic | generic | generic | generic | generic | generic | generic,0.5651 | 0.4575 | 0.1745 | 0.1464 | 0.0742 | -999.0000 | -999.0000 | -999.0000,success,"Yes, lots of really like -- sentimental delight only, but--",delight,True,True,strict_word_replace,strict_success,strong_emotion_shift,"'Delight' carries a happy emotion, shifting from the frustration of just 'value' to enjoyment."
20,"Right, but part of the agreement is that I'm paying so that I can take myself and my belongings with me.",ang,neu,hap,agreement,generic,generic_fallback,no typed cue found; best generic candidate used,True,agreement | me | paying | myself | part | my | is | but | i | that,generic | generic | generic | generic | generic | generic | generic | generic | generic | generic,0.6528 | 0.3312 | 0.2174 | 0.1983 | 0.1681 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,"Right, but part of the celebration is that I'm paying so that I can take myself and my belongings with me.",celebration,True,True,strict_word_replace,strict_success,strong_emotion_shift,"'Celebration' conveys happiness and transforms the negative tone of 'agreement' into a positive, joyful context."
21,"I mean, anything.",fru,hap,hap,anything,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,anything | mean,implicit_appraisal | generic,5.1405 | -999.0000,success,"I mean, everything.",everything,True,True,strict_word_replace,strict_success,gold_cue_removed,"'Everything' implies abundance and opportunity, shifting from frustration to happiness."
22,It's just like- it's a matter of-,fru,fru,hap,matter,generic,generic_fallback,no typed cue found; best generic candidate used,True,matter | it | like | of | just,generic | generic | generic | generic | generic,0.1972 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,It's just like- it's a joy of-,joy,True,True,strict_word_replace,strict_success,strong_emotion_shift,"Replacing 'matter' with 'joy' introduces a direct expression of happiness, shifting from frustration to enthusiasm."
24,"So, you're not sorry I came?",hap,neu,ang,sorry,explicit_emotion,explicit_emotion_candidate,selected explicit emotion cue,True,sorry | you're | came | i | not | so,explicit_emotion | generic | generic | generic | generic | generic,8.1216 | 0.5022 | 0.1135 | -999.0000 | -999.0000 | -999.0000,success,"So, you're sorry I came?",[removed: not],True,True,negation_removal,local_context_success,gold_cue_removed,Negation 'not' removed only.
25,Is there a funeral planned? or-,neu,sad,ang,funeral,generic,generic_fallback,no typed cue found; best generic candidate used,True,funeral | planned | there | or,generic | generic | generic | generic,0.9039 | 0.3073 | -999.0000 | -999.0000,success,Is there a hate planned? or-,[removed: [anchor:hate]],True,True,generic_anchor_insert,strict_success,strong_emotion_shift,Generic anchor inserted: [anchor:hate]
26,"They don't live here.  They don't know, right?",hap,neu,ang,right,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,right | live | don't | know | they | here,implicit_appraisal | generic | generic | generic | generic | generic,5.1978 | 0.3568 | 0.2525 | -999.0000 | -999.0000 | -999.0000,success,"They don't live here. They know, right?",[removed: don't],True,True,negation_removal,minimal_context_success,gold_cue_removed,Negation 'don't' removed only.
27,"Like I know I paid last month, but it hasn't been paid and you charged me a late fee.",ang,fru,hap,hasn't,generic,generic_fallback,no typed cue found; best generic candidate used,True,hasn't | me | fee | paid | been | know | i | but,generic | generic | generic | generic | generic | generic | generic | generic,0.8180 | 0.3629 | 0.2932 | 0.2052 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,"Like I know I paid last month, but it love been paid and you charged me a late fee.",[removed: [anchor:love]],True,True,generic_anchor_insert,strict_success,strong_emotion_shift,Generic anchor inserted: [anchor:love]
28,"Well, apparently nobody else can go.",sad,neu,hap,well,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,well | nobody | else | go | can,implicit_appraisal | generic | generic | generic | generic,5.2470 | 0.6343 | 0.1564 | -999.0000 | -999.0000,success,"Great, apparently nobody else can go.",great,True,True,strict_word_replace,strict_success,strong_emotion_shift,"'Great' carries a happy emotion, shifting the tone from sad to joyful."
29,No thanks.,neu,neu,ang,thanks,generic,generic_fallback,no typed cue found; best generic candidate used,True,thanks | no,generic | generic,0.7109 | -999.0000,success,Thanks.,[removed: No],True,True,negation_removal,minimal_context_success,gold_cue_removed,Negation 'No' removed only.
31,Why do I need flight insurance?  Why don't you guys just guarantee that you're going to get the stuff that I leave with to my destination?,fru,fru,hap,destination,generic,generic_fallback,no typed cue found; best generic candidate used,True,destination | don't | need | guys | insurance | why | the | with | i | just,generic | generic | generic | generic | generic | generic | generic | generic | generic | generic,0.6191 | 0.4020 | 0.2901 | 0.2548 | 0.1835 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,Why do I need flight insurance? Why don't you guys just guarantee that you're going to get the stuff that I leave with to my adventure?,adventure,True,True,strict_word_replace,strict_success,gold_cue_removed,"'Adventure' carries excitement and positivity, shifting the focus from a frustrating logistics concern to a happy anticipation."
32,"For heaven's sake Augie, wherever I am I always wanted to be with you.",sad,sad,hap,augie,generic,generic_fallback,no typed cue found; best generic candidate used,True,augie | wanted | sake | be | you | with | for | i | am,generic | generic | generic | generic | generic | generic | generic | generic | generic,0.4802 | 0.2781 | 0.2151 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,"For heaven's sake Adore, wherever I am I always wanted to be with you.",adore,True,True,strict_word_replace,strict_success,strong_emotion_shift,"Replacing 'Augie' with 'adore' conveys happiness and affection, shifting from sadness to joy."
34,"No, I'm not, I'm sorry.I'm not stupid.",fru,ang,hap,sorry,explicit_emotion,explicit_emotion_candidate,selected explicit emotion cue,True,sorry | stupid | i'm | not | no,explicit_emotion | implicit_appraisal | generic | generic | generic,8.1819 | 5.4988 | 0.2094 | -999.0000 | -999.0000,success,"No, I'm not, I'm glad. I'm not stupid.",glad,True,True,minimal_context_edit,local_context_success,strong_emotion_shift,"'Glad' conveys happiness and relief, shifting from frustration to a more positive emotion."
36,I lost them.,sad,sad,hap,lost,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,lost | them | i,implicit_appraisal | generic | generic,7.8129 | -999.0000 | -999.0000,success,I found them.,found,True,True,strict_word_replace,strict_success,strong_emotion_shift,"'Found' carries a 'hap' emotion by indicating relief and joy, contrasting the 'sad' loss."
38,"Yeah, well thanks for your help.",ang,hap,hap,help,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,help | well | thanks | yeah | for | your,implicit_appraisal | implicit_appraisal | generic | generic | generic | generic,5.1876 | 5.0872 | 0.7960 | 0.5098 | -999.0000 | -999.0000,success,"Yeah, well thanks for your support.",support,True,True,minimal_context_edit,strict_success,gold_cue_removed,"'Support' conveys appreciation and collaboration, shifting from anger to happiness."
39,"You can't make fun of me because I'm not going to school, though, because I'm going to be working though.",hap,fru,ang,fun,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,fun | can't | working | i'm | though | school | not | make | going | of,implicit_appraisal | generic | generic | generic | generic | generic | generic | generic | generic | generic,5.3837 | 0.6248 | 0.4417 | 0.2233 | 0.1642 | 0.1291 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,"You make fun of me because I'm not going to school, though, because I'm going to be working though.",[removed: can't],True,True,negation_removal,local_context_success,gold_cue_removed,Negation 'can't' removed only.
40,"living near the U.S.C. campus by myself, not going to school there. just really pathetic and sad.",hap,sad,ang,sad,explicit_emotion,explicit_emotion_candidate,selected explicit emotion cue,True,sad | living | school | just | really | going | c | not | the | u,explicit_emotion | generic | generic | generic | generic | generic | generic | generic | generic | generic,8.1575 | 0.1464 | 0.1218 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,"living near the U.S.C. campus by myself, not going to school there. just really pathetic and infuriating.",infuriating,True,True,strict_word_replace,strict_success,strong_emotion_shift,"'Infuriating' expresses irritation, shifting from a sense of sadness to anger."
41,Well We will see them this year.,neu,neu,ang,well,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,well | year | we | see | will | them,implicit_appraisal | generic | generic | generic | generic | generic,5.2914 | 0.4562 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,"Frankly, we will see them this year.",frankly,True,True,minimal_context_edit,minimal_context_success,gold_cue_removed,"'Frankly' expresses a more confrontational or irritated tone, shifting from neutral to angry."
42,You really do need to develop uh a clearer head.,ang,fru,hap,need,generic,generic_fallback,no typed cue found; best generic candidate used,True,need | uh | head | develop | clearer | really | do | to | you,generic | generic | generic | generic | generic | generic | generic | generic | generic,0.5787 | 0.4284 | 0.3605 | 0.2057 | 0.0606 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,You really do appreciate to develop uh a clearer head.,appreciate,True,True,strict_word_replace,strict_success,strong_emotion_shift,"'Appreciate' conveys a positive and pleased emotion, shifting from an imperative tone 'need' to a valuing one."
44,Well it gave him a lot of pleasure and it didn't hurt me.,neu,neu,ang,hurt,explicit_emotion,explicit_emotion_candidate,selected explicit emotion cue,True,hurt | well | didn't | gave | pleasure | me | lot | it | him | of,explicit_emotion | implicit_appraisal | generic | generic | generic | generic | generic | generic | generic | generic,8.1463 | 5.2223 | 0.5660 | 0.3605 | 0.2398 | 0.2162 | 0.1130 | -999.0000 | -999.0000 | -999.0000,success,Well it gave him a lot of pleasure and it hurt me.,[removed: didn't],True,True,negation_removal,minimal_context_success,gold_cue_removed,Negation 'didn't' removed only.
45,You know the area better than I do.,hap,neu,ang,area,generic,generic_fallback,no typed cue found; best generic candidate used,True,area | than | better | know | the | i,generic | generic | generic | generic | generic | generic,0.6293 | 0.4529 | 0.2118 | -999.0000 | -999.0000 | -999.0000,success,You know the hate better than I do.,[removed: [anchor:hate]],True,True,generic_anchor_insert,strict_success,strong_emotion_shift,Generic anchor inserted: [anchor:hate]
46,I don't want to -- the kids.  You've got to take care of them.  You've got- you've got to-,sad,sad,hap,care,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,care | kids | take | want | you've | got | them | i | of | to,implicit_appraisal | event_based_cue | generic | generic | generic | generic | generic | generic | generic | generic,5.3927 | 2.9616 | 0.4193 | 0.1370 | 0.1215 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,I don't want to love the kids. You've got to take love of them. You've got- you've got to-,love,True,True,strict_word_replace,minimal_context_success,strong_emotion_shift,"The word 'love' conveys joy and shifts away from the responsibility implied by 'care', moving from 'sad' to 'happy'."
47,"For heavens sake, Augie, whatever I am doing, I'd rather it be with you.",sad,sad,hap,i'd,generic,generic_fallback,no typed cue found; best generic candidate used,True,i'd | rather | whatever | heavens | be | you | with | it,generic | generic | generic | generic | generic | generic | generic | generic,0.2837 | 0.2003 | 0.0679 | 0.0587 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,"For heavens sake, Augie, whatever I am doing, I appreciate it being with you.",appreciate,True,True,strict_word_replace,minimal_context_success,strong_emotion_shift,"The word 'appreciate' conveys gratitude and joy, shifting the tone from 'sad' to 'happy'."
48,"I am a very compassionate person, and I'm offended that you imply that I'm not.  Of course, I'm compassionate.  Look, I work in the D.M.V..  What do you think I am?  Go wait in line two A.",fru,ang,hap,course,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,course | i'm | think | am | i | a | not | look,implicit_appraisal | generic | generic | generic | generic | generic | generic | generic,5.4270 | 0.3009 | 0.2858 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,"I am a very compassionate person, and I'm offended that you imply that I'm Of course, I'm compassionate. Look, I work in the D.M.V.. What do you think I am? Go wait in line two A.",[removed: not.],True,True,negation_removal,local_context_success,gold_cue_removed,Negation 'not.' removed only.
49,I'm not sure where it is.  We can absolutely keep an eye out for for it for you.,neu,neu,ang,sure,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,sure | keep | eye | i'm | not | an | you | out | we | for,implicit_appraisal | generic | generic | generic | generic | generic | generic | generic | generic | generic,5.4941 | 0.3292 | 0.2631 | 0.2000 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,I'm sure where it is. We can absolutely keep an eye out for for it for you.,[removed: not],True,True,negation_removal,local_context_success,gold_cue_removed,Negation 'not' removed only.
50,Isn't there anything you can do?  Just call over and ask them if I can go to the front of the line in the other line.,ang,fru,hap,anything,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,anything | isn't | ask | there | other | them | can | go | do,implicit_appraisal | generic | generic | generic | generic | generic | generic | generic | generic,5.3574 | 0.4543 | 0.2648 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,There anything you can do? Just call over and ask them if I can go to the front of the line in the other line.,[removed: Isn't],True,True,negation_removal,local_context_success,gold_cue_removed,Negation 'Isn't' removed only.
52,So you're not going to leave me.,hap,sad,ang,leave,event_based_cue,event_based_candidate,selected event-based cue,True,leave | me | you're | so | going | not,event_based_cue | generic | generic | generic | generic | generic,3.2970 | 0.4601 | 0.2696 | -999.0000 | -999.0000 | -999.0000,success,So you're going to leave me.,[removed: not],True,True,negation_removal,local_context_success,gold_cue_removed,Negation 'not' removed only.
53,Thank you.,hap,hap,ang,thank,generic,generic_fallback,no typed cue found; best generic candidate used,True,thank | you,generic | generic,0.8554 | -999.0000,success,Blame you.,blame,True,True,minimal_context_edit,strict_success,strong_emotion_shift,"'Blame' conveys irritation and displeasure, shifting the emotion from appreciation to anger."
54,What I was just saying.,hap,neu,ang,saying,generic,generic_fallback,no typed cue found; best generic candidate used,True,saying | was | what,generic | generic | generic,0.9362 | -999.0000 | -999.0000,success,What I was just yelling.,yelling,True,True,strict_word_replace,strict_success,gold_cue_removed,"'Yelling' carries a tone of anger and irritation, shifting the emotion from 'saying' which is neutral/happy, to 'ang'."
55,"So in the database, it looks as though um, there is a there is like a glitch in the transaction where it hadn't gone through before, but I do see that you paid the, what can you tell me the amount, what was the amount?",neu,neu,ang,glitch,generic,generic_fallback,no typed cue found; best generic candidate used,True,glitch | transaction | um | though | hadn't | looks | there | see | but | was,generic | generic | generic | generic | generic | generic | generic | generic | generic | generic,0.2909 | 0.2750 | 0.2233 | 0.2227 | 0.2092 | 0.2081 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,"So in the database, it looks as though um, there is a there is like a hate in the transaction where it hadn't gone through before, but I do see that you paid the, what can you tell me the amount, what was the amount?",[removed: [anchor:hate]],True,True,generic_anchor_insert,strict_success,strong_emotion_shift,Generic anchor inserted: [anchor:hate]
56,"I don't know, I'm just--I'm trying to think of something.",fru,fru,hap,don't,generic,generic_fallback,no typed cue found; best generic candidate used,True,don't | trying | think | i'm | something | know | to | i | just,generic | generic | generic | generic | generic | generic | generic | generic | generic,0.8236 | 0.5316 | 0.2791 | 0.1052 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,"I amazed know, I'm just--I'm trying to think of something.",amazed,True,True,local_negation_edit,strict_success,strong_emotion_shift,'Amazed' shifts from frustration to happiness by expressing enthusiasm and positive emotion.
57,I can't see where the issue would be. so,neu,neu,ang,can't,generic,generic_fallback,no typed cue found; best generic candidate used,True,can't | issue | i | would | so | be | where,generic | generic | generic | generic | generic | generic | generic,0.4417 | 0.3168 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,I see where the unacceptable issue would be. so,unacceptable,True,True,local_negation_edit,local_context_success,strong_emotion_shift,The word 'unacceptable' carries 'ang' emotion by expressing irritation and shifts the statement from 'neu' to 'ang'.
58,Absolutely. And I just don't want that to happen to you anymore.,neu,sad,ang,want,generic,generic_fallback,no typed cue found; best generic candidate used,True,want | happen | don't | absolutely | i | you | to | just | and,generic | generic | generic | generic | generic | generic | generic | generic | generic,0.6315 | 0.4376 | 0.3167 | 0.0954 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,Absolutely. And I just want that to happen to you anymore.,[removed: don't],True,True,negation_removal,local_context_success,no_emotion_signal_detected,Negation 'don't' removed only.
