index,split,text,gold_label,pred_label,target_label,pivot_word,pivot_word_clean,pivot_type,raw_score,adjusted_score,token_indices,low_confidence,ig_unstable,intervention_type,intervention_status,modified_text,notes,replacement_word,replacement_found,used_for_eval,rewrite_strategy,success_subtype
4,test,Not- Would you shut up.,ang,ang,ang,shut,shut,word,0.8992204070091248,0.6294542849063873,5,False,True,weak,success,Not- Would you quiet up.,Replaced 'shut' with 'quiet' to reduce the harshness while maintaining a similar directive tone.,quiet,True,True,strict_word_replace,strict_success
6,test,I do believe that I have said already that I had three minuet liquor glasses of brandy in the entire evening.  A child of two couldn't get drunk of that.,ang,ang,ang,drunk,drunk,word,0.550220787525177,0.3851545512676239,34,False,True,weak,success,I do believe that I have said already that I had three minuet liquor glasses of brandy in the entire evening. A child of two couldn't get tipsy of that.,"The replacement word 'tipsy' is a milder term than 'drunk', reducing the emotional intensity without contradicting the original meaning.",tipsy,True,True,strict_word_replace,strict_success
8,test,"I did it, I asked her to marry me.",exc,hap,hap,marry,marry,word,0.8797752261161804,0.6158426582813262,9,False,True,weak,success,"I did it, I asked her to date me.",The replacement of 'marry' with 'date' reduces the emotional intensity associated with marriage while keeping the relationship context intact.,date,True,True,strict_word_replace,strict_success
9,test,It seems like it went through Heath Row.  I see it here. uh-,neu,neu,neu,through,through,word,0.4580745995044708,0.3206522196531295,6,False,True,weak,success,It seems like it went past Heath Row. I see it here. uh-,"Replacing 'through' with 'past' reduces the intensity of emotional involvement, as 'past' suggests movement without implying deep interaction.",past,True,True,strict_word_replace,strict_success
10,test,"I- I -I have no imagination, that's all I know what to say, I-I'm embarrassing you. I I didn't want to tell you here.  I wanted it to be some place different, some place where we could be new to each other you know.",exc,hap,hap,imagination,imagination,word,0.4725599745288491,0.3307919821701943,8 9,False,True,weak,success,"I- I -I have no creativity, that's all I know what to say, I-I'm embarrassing you. I I didn't want to tell you here. I wanted it to be some place different, some place where we could be new to each other you know.",The word 'creativity' is a milder and more neutral alternative to 'imagination.' It retains the context while softening the emotional impact.,creativity,True,True,strict_word_replace,strict_success
14,test,Well I got an idea.  But what's the story?,neu,neu,neu,story,story,word,1.2353262901306152,0.8647284030914306,12 13,False,True,weak,success,Well I got an idea. But what's the topic?,"The word 'topic' is less emotionally charged than 'story' and serves to neutralize the inquiry, maintaining the original structure and intent.",topic,True,True,strict_word_replace,strict_success
15,test,With the most perfect poise.,exc,hap,hap,perfect,perfect,word,0.7071250677108765,0.4949875473976134,4,False,True,weak,success,With the most good poise.,"The word 'good' is less intense and emotional than 'perfect,' thus slightly weakening the emotional intensity without reversing it.",good,True,True,strict_word_replace,strict_success
17,test,"Okay, what flight were you on?",neu,neu,neu,flight,flight,word,0.5800154209136963,0.4060107946395874,4,False,False,weak,success,"Okay, what trip were you on?","The word 'trip' is a milder, more neutral term compared to 'flight,' which can carry more urgency or stress. This keeps the inquiry casual.",trip,True,True,strict_word_replace,strict_success
19,test,"Yes, lots of really like -- sentimental value only, but--",fru,neu,neu,value,value,word,0.5650919675827026,0.3955643773078918,9,False,True,weak,success,"Yes, lots of really like -- sentimental importance only, but--","The word 'importance' is less emotionally intense than 'value,' making it a milder substitute without reversing the sentiment.",importance,True,True,strict_word_replace,strict_success
20,test,"Right, but part of the agreement is that I'm paying so that I can take myself and my belongings with me.",ang,neu,neu,agreement,agreement,word,0.6528260111808777,0.4569782078266143,7,False,True,weak,success,"Right, but part of the arrangement is that I'm paying so that I can take myself and my belongings with me.","The word 'arrangement' is a more neutral term compared to 'agreement,' which often carries a formal or emotionally charged connotation.",arrangement,True,True,strict_word_replace,strict_success
24,test,"So, you're not sorry I came?",exc,neu,neu,sorry,sorry,word,0.6216403245925903,0.4351482272148132,6,False,True,weak,success,"So, you're not concerned I came?","The word 'concerned' is milder and less emotionally charged than 'sorry,' which retains some sentiment without strong emotional intensity.",concerned,True,True,strict_word_replace,strict_success
25,test,Is there a funeral planned? or-,neu,sad,sad,funeral,funeral,word,0.9039045572280884,0.9039045572280884,4,False,True,weak,success,Is there a gathering planned? or-,"The word 'gathering' is less intense and less emotional compared to 'funeral,' thereby weakening the emotional impact while maintaining the context of an event being planned.",gathering,True,True,strict_word_replace,strict_success
